trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
534282020,200,1,"East to San Bernardino Express",,1,84696902,shp-200-04,2,2,20003
534283020,200,1,"East to San Bernardino Express",,1,84711202,shp-200-04,2,2,20004
534284020,200,1,"East to San Bernardino Express",,1,84698902,shp-200-04,2,2,20005
534285020,200,1,"East to San Bernardino Express",,1,84702402,shp-200-04,2,2,20006
534286020,200,1,"East to San Bernardino Express",,1,84702202,shp-200-04,2,2,20007
534287020,200,1,"East to San Bernardino Express",,1,84705202,shp-200-04,2,2,20008
534288020,200,1,"East to San Bernardino Express",,1,84699502,shp-200-04,2,2,20009
538594020,204,1,"South to Riverside & UCR Express",,0,84700002,shp-204-51,0,0,20401
538595020,204,1,"South to Riverside & UCR Express",,0,84701002,shp-204-51,0,0,20402
538596020,204,1,"South to Riverside & UCR Express",,0,84701802,shp-204-51,0,0,20403
538597020,204,1,"South to Riverside & UCR Express",,0,84700002,shp-204-51,0,0,20401
538598020,204,1,"South to Riverside & UCR Express",,0,84701902,shp-204-51,0,0,20404
538599020,204,1,"South to Riverside & UCR Express",,0,84700102,shp-204-51,0,0,20405
538600020,204,1,"South to Riverside & UCR Express",,0,84701302,shp-204-51,0,0,20406
538601020,204,1,"South to Riverside & UCR Express",,0,84704602,shp-204-51,0,0,20407
538602020,204,1,"South to Riverside & UCR Express",,0,84700102,shp-204-51,0,0,20405
538603020,204,1," North to Montclair Express",,1,84700002,shp-204-01,0,0,20401
538604020,204,1," North to Montclair Express",,1,84700102,shp-204-01,0,0,20405
538605020,204,1," North to Montclair Express",,1,84701302,shp-204-01,0,0,20406
538606020,204,1," North to Montclair Express",,1,84704602,shp-204-01,0,0,20407
538607020,204,1," North to Montclair Express",,1,84700102,shp-204-01,0,0,20405
538608020,204,1," North to Montclair Express",,1,84700002,shp-204-03,0,0,20401
538609020,204,1," North to Montclair Express",,1,84701002,shp-204-03,0,0,20402
538610020,204,1," North to Montclair Express",,1,84701802,shp-204-03,0,0,20403
538611020,204,1," North to Montclair Express",,1,84701902,shp-204-01,0,0,20404
538585020,205,1,"North to Corona Express",,0,84699402,shp-205-51,0,0,20501
538586020,205,1,"North to Corona Express",,0,84701402,shp-205-51,0,0,20502
538587020,205,1,"North to Corona Express",,0,84702002,shp-205-51,0,0,20503
538588020,205,1,"South to Corona/Lake Elsinore Express",,0,84700302,shp-205-52,0,0,20504
538589020,205,1,"South to Corona & Temecula Express",,0,84701702,shp-205-54,0,0,20506
538593020,205,1,"South to Corona/Temecula Express",,0,84700502,shp-205-55,0,0,20505
538582020,205,1,"North to Corona/Orange Express",,1,84699402,shp-205-02,0,0,20501
538583020,205,1,"North to Corona/Orange Express",,1,84701402,shp-205-01,0,0,20502
538584020,205,1,"North to Corona/Orange Express",,1,84702002,shp-205-01,0,0,20503
538590020,205,1,"North to Village at Orange Express",,1,84700502,shp-205-03,0,0,20505
538591020,205,1,"North to Village at Orange Express",,1,84701702,shp-205-03,0,0,20506
538592020,205,1,"North to Village at Orange Express",,1,84700302,shp-205-03,0,0,20504
538567020,206,1,"South to Temecula Express",,0,84701502,shp-206-59,0,0,20608
538568020,206,1,"South to Temecula Express",,0,84699902,shp-206-60,0,0,20605
538570020,206,1,"South to Temecula Express",,0,84701602,shp-206-61,0,0,20604
