From_GEO_ID,,To_geoid,To_hos_address,To_hos_coordinates,Total_Miles
1500000US060250112011,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,2.22429263
1500000US060250112011,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,10.39258373
1500000US060250112012,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,2.47070464
1500000US060250112012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,9.98016201
1500000US060250112023,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.4341591
1500000US060250112023,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,10.93717736
1500000US060250113002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,2.88725802
1500000US060250113002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.94986181
1500000US060250113004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,4.44055781
1500000US060250113004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,15.88169476
1500000US060250114001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.7681169
1500000US060250114001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.1329891
1500000US060250114003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.67602031
1500000US060250114003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.82803648
1500000US060250115001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.01476485
1500000US060250115001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.37030073
1500000US060250115003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.31727599
1500000US060250115003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.12907644
1500000US060250115004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.46093793
1500000US060250115004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,10.87809791
1500000US060250116002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.8900862
1500000US060250116002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.69685421
1500000US060250116003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.59137308
1500000US060250116003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.72347996
1500000US060250116004,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.70697685
1500000US060250116004,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.08812775
1500000US060250117002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.32128623
1500000US060250117002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.54788147
1500000US060250117003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.68576276
1500000US060250117003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.54166868
1500000US060250118012,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.29606913
1500000US060250118012,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.32431438
1500000US060250118021,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.6975161
1500000US060250118021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,11.80701656
1500000US060250118022,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.50850371
1500000US060250118022,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.7260602
1500000US060250118024,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,0.34295023
1500000US060250118024,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,12.46776247
1500000US060250118031,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,1.28093297
1500000US060250118031,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,13.56852622
1500000US060250119001,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,6.30211678
1500000US060250119001,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,18.5544758
1500000US060250119002,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,12.62652504
1500000US060250119002,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.82768716
1500000US060250119003,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,7.92343897
1500000US060250119003,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,17.8654902
1500000US060250120021,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,9.09248131
1500000US060250120021,,6025010600,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953,20.10224681
1500000US060250120022,,6025011700,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487,8.39299131
