NearRank,RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Minutes,To_ID,From_ID,RouteLayerItemID,RouteLayerItemURL,From_GEO_ID,From_STATE,From_COUNTY,From_TRACT,From_BLKGRP,From_Name,From_LSAD,From_CENSUSAREA,From_Shape__Area,From_Shape__Length,From_ORIG_FID,To_geoid,To_hos_address,To_hos_coordinates
1,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:35:11,2020-07-29 10:31:53,2020-07-29 10:35:11,1.38547504,3.30057411,2,20,,,1500000US060250114002,6,25,11400,2,2,BG,0.177,,,20,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,2 - Location 1,2020-07-29 03:31:53,2020-07-29 03:49:48,2020-07-29 10:31:53,2020-07-29 10:49:48,13.88516395,17.90850033,1,20,,,1500000US060250114002,6,25,11400,2,2,BG,0.177,,,20,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:34:55,2020-07-29 10:31:53,2020-07-29 10:34:55,1.47145496,3.03792503,2,21,,,1500000US060250115002,6,25,11500,2,2,BG,0.114,,,21,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,2 - Location 1,2020-07-29 03:31:53,2020-07-29 03:46:33,2020-07-29 10:31:53,2020-07-29 10:46:33,12.23984557,14.66348436,1,21,,,1500000US060250115002,6,25,11500,2,2,BG,0.114,,,21,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,1 - Location 2,2020-07-29 03:31:53,2020-07-29 03:32:49,2020-07-29 10:31:53,2020-07-29 10:32:49,0.36677556,0.93005216,2,22,,,1500000US060250116001,6,25,11600,1,1,BG,0.17,,,22,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,1 - Location 1,2020-07-29 03:31:53,2020-07-29 03:48:41,2020-07-29 10:31:53,2020-07-29 10:48:41,13.22298367,16.7943,1,22,,,1500000US060250116001,6,25,11600,1,1,BG,0.17,,,22,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,1 - Location 2,2020-07-29 03:31:53,2020-07-29 03:35:16,2020-07-29 10:31:53,2020-07-29 10:35:16,1.41912946,3.38460241,2,23,,,1500000US060250117001,6,25,11700,1,1,BG,0.292,,,23,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,1 - Location 1,2020-07-29 03:31:53,2020-07-29 03:51:03,2020-07-29 10:31:53,2020-07-29 10:51:03,14.5569914,19.17325223,1,23,,,1500000US060250117001,6,25,11700,1,1,BG,0.292,,,23,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,1 - Location 2,2020-07-29 03:31:53,2020-07-29 03:34:15,2020-07-29 10:31:53,2020-07-29 10:34:15,1.07649863,2.37197273,2,24,,,1500000US060250118011,6,25,11801,1,1,BG,0.214,,,24,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,1 - Location 1,2020-07-29 03:31:53,2020-07-29 03:49:12,2020-07-29 10:31:53,2020-07-29 10:49:12,13.58179575,17.32278175,1,24,,,1500000US060250118011,6,25,11801,1,1,BG,0.214,,,24,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,3 - Location 2,2020-07-29 03:31:53,2020-07-29 03:33:10,2020-07-29 10:31:53,2020-07-29 10:33:10,0.5812765,1.28087642,2,25,,,1500000US060250118023,6,25,11802,3,3,BG,0.26800001,,,25,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,3 - Location 1,2020-07-29 03:31:53,2020-07-29 03:47:48.000001,2020-07-29 10:31:53,2020-07-29 10:47:48,12.87374756,15.91129479,1,25,,,1500000US060250118023,6,25,11802,3,3,BG,0.26800001,,,25,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,1 - Location 2,2020-07-29 03:31:53,2020-07-29 03:47:45,2020-07-29 10:31:53,2020-07-29 10:47:45,12.76543138,15.87105631,2,26,,,1500000US060250120011,6,25,12001,1,1,BG,0.153,,,26,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,1 - Location 1,2020-07-29 03:31:53,2020-07-29 04:00:58,2020-07-29 10:31:53,2020-07-29 11:00:58,25.37296124,29.07982738,1,26,,,1500000US060250120011,6,25,12001,1,1,BG,0.153,,,26,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:47:02,2020-07-29 10:31:53,2020-07-29 10:47:02,12.51236574,15.14623867,2,27,,,1500000US060250120012,6,25,12001,2,2,BG,0.068,,,27,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,2 - Location 1,2020-07-29 03:31:53,2020-07-29 04:00:14,2020-07-29 10:31:53,2020-07-29 11:00:14,25.1198956,28.35500972,1,27,,,1500000US060250120012,6,25,12001,2,2,BG,0.068,,,27,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,2 - Location 2,2020-07-29 03:31:53,2020-07-29 03:45:10,2020-07-29 10:31:53,2020-07-29 10:45:10.000001,11.68027716,13.28961217,2,28,,,1500000US060250121002,6,25,12100,2,2,BG,0.219,,,28,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,2 - Location 1,2020-07-29 03:31:53,2020-07-29 03:58:23,2020-07-29 10:31:53,2020-07-29 10:58:23,24.28780702,26.49838324,1,28,,,1500000US060250121002,6,25,12100,2,2,BG,0.219,,,28,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
1,1 - Location 2,2020-07-29 03:31:53,2020-07-29 04:46:27,2020-07-29 10:31:53,2020-07-29 11:46:27,30.28078506,74.57351919,2,29,,,1500000US060250123011,6,25,12301,1,1,BG,907.94500732,,,29,6025011700.0,"1415 Ross Ave, El Centro, CA 92243",X:  -115.56864 Y: 32.781487
2,1 - Location 1,2020-07-29 03:31:53,2020-07-29 04:58:16,2020-07-29 10:31:53,2020-07-29 11:58:16,39.24358474,86.37618412,1,29,,,1500000US060250123011,6,25,12301,1,1,BG,907.94500732,,,29,6025010600.0,"207 W Legion Rd, Brawley, CA 92227",X:  -115.55422 Y: 32.959953
